iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,8,0.0
1000,-1.0,2.0,9,0.0
1500,-1.0,2.0,10,0.0
2000,-1.0,2.0,8,0.0
2500,-1.0,2.0,8,0.0
3000,-1.0,2.0,8,0.0
3500,-0.89,2.11,9,0.0
4000,-1.0,2.0,11,0.0
4500,-0.88,2.12,8,0.0
5000,-1.0,2.0,9,0.0
5500,-1.0,2.0,8,0.0
6000,-1.0,2.0,8,0.0
6500,-1.0,2.0,9,0.0
7000,-1.0,2.0,11,0.0
7500,-1.0,2.0,8,0.0
8000,-1.0,2.0,9,0.0
8500,-1.0,2.0,11,0.0
9000,-1.0,2.0,8,0.0
9500,-1.0,2.0,11,0.0
10000,-1.0,2.0,9,0.0
10500,-1.0,2.0,10,0.0
11000,-1.0,2.0,9,0.0
11500,-1.0,2.0,10,0.0
12000,-1.0,2.0,9,0.0
12500,-1.0,2.0,8,0.0
13000,-0.75,2.25,8,0.0
13500,-1.0,2.0,9,0.0
14000,-1.0,2.0,12,0.0
14500,-1.0,2.0,9,0.0
15000,-0.91,2.09,11,0.0
15500,-1.0,2.0,8,0.0
16000,-1.0,2.0,10,0.0
16500,-1.0,2.0,10,0.0
17000,-1.0,2.0,8,0.0
17500,-1.0,2.0,9,0.0
18000,-0.88,2.12,8,0.0
18500,-1.0,2.0,8,0.0
19000,-1.0,2.0,8,0.0
19500,-1.0,2.0,8,0.0
20000,-1.0,2.0,10,0.0
20500,-0.88,2.12,8,0.0
21000,-1.0,2.0,12,0.0
21500,-1.0,2.0,8,0.0
22000,-1.0,2.0,8,0.0
22500,-1.0,2.0,10,0.0
23000,-1.0,2.0,11,0.0
23500,-1.0,2.0,9,0.0
24000,-1.0,2.0,10,0.0
24500,-1.0,2.0,8,0.0
25000,-1.0,2.0,8,0.0
25500,-0.89,2.11,9,0.0
26000,-1.0,2.0,9,0.0
26500,-1.0,2.0,8,0.0
27000,-1.0,2.0,8,0.0
27500,-0.88,2.12,8,0.0
28000,-1.0,2.0,10,0.0
28500,-0.91,2.09,11,0.0
29000,-1.0,2.0,8,0.0
29500,-1.0,2.0,8,0.0
30000,-1.0,2.0,8,0.0
30500,-1.0,2.0,9,0.0
31000,-1.0,2.0,8,0.0
31500,-0.91,2.09,11,0.0
32000,-1.0,2.0,9,0.0
32500,-1.0,2.0,9,0.0
33000,-1.0,2.0,8,0.0
33500,-1.0,2.0,11,0.0
34000,-1.0,2.0,10,0.0
34500,-1.0,2.0,8,0.0
35000,-1.0,2.0,8,0.0
35500,-1.0,2.0,9,0.0
36000,-1.0,2.0,8,0.0
36500,-1.0,2.0,8,0.0
37000,-1.0,2.0,8,0.0
37500,-1.0,2.0,8,0.0
38000,-1.0,2.0,8,0.0
38500,-0.9,2.1,10,0.0
39000,-1.0,2.0,10,0.0
39500,-1.0,2.0,10,0.0
40000,-1.0,2.0,10,0.0
40500,-0.88,2.12,8,0.0
41000,-1.0,2.0,10,0.0
41500,-1.0,2.0,9,0.0
42000,-1.0,2.0,8,0.0
42500,-1.0,2.0,8,0.0
43000,-0.88,2.12,8,0.0
43500,-0.88,2.12,8,0.0
44000,-0.88,2.12,8,0.0
44500,-1.0,2.0,8,0.0
45000,-1.0,2.0,11,0.0
45500,-1.0,2.0,11,0.0
46000,-0.89,2.11,9,0.0
46500,-1.0,2.0,10,0.0
47000,-1.0,2.0,8,0.0
47500,-1.0,2.0,9,0.0
48000,-1.0,2.0,9,0.0
48500,-1.0,2.0,9,0.0
49000,-1.0,2.0,8,0.0
49500,-1.0,2.0,12,0.0
50000,-1.0,2.0,8,0.0
50500,-1.0,2.0,8,0.0
51000,-1.0,2.0,8,0.0
51500,-1.0,2.0,9,0.0
52000,-1.0,2.0,10,0.0
52500,-0.8,2.2,10,0.0
53000,-1.0,2.0,9,0.0
53500,-1.0,2.0,9,0.0
54000,-1.0,2.0,9,0.0
54500,-1.0,2.0,8,0.0
55000,-0.9,2.1,10,0.0
55500,-1.0,2.0,9,0.0
56000,-1.0,2.0,9,0.0
56500,-1.0,2.0,10,0.0
57000,-1.0,2.0,9,0.0
57500,-1.0,2.0,10,0.0
58000,-1.0,2.0,10,0.0
58500,-1.0,2.0,8,0.0
59000,-0.92,2.08,12,0.0
59500,-1.0,2.0,8,0.0
60000,-0.88,2.12,8,0.0
60500,-1.0,2.0,9,0.0
61000,-1.0,2.0,10,0.0
61500,-1.0,2.0,11,0.0
62000,-1.0,2.0,11,0.0
62500,-0.89,2.11,9,0.0
63000,-1.0,2.0,11,0.0
63500,-1.0,2.0,8,0.0
64000,-1.0,2.0,9,0.0
64500,-0.91,2.09,11,0.0
65000,-1.0,2.0,9,0.0
65500,-1.0,2.0,8,0.0
66000,-0.92,2.08,12,0.0
66500,-1.0,2.0,9,0.0
67000,-1.0,2.0,9,0.0
67500,-1.0,2.0,8,0.0
68000,-1.0,2.0,8,0.0
68500,-1.0,2.0,10,0.0
69000,-0.8,2.2,10,0.0
69500,-1.0,2.0,12,0.0
70000,-1.0,2.0,8,0.0
70500,-1.0,2.0,10,0.0
71000,-1.0,2.0,9,0.0
71500,-0.88,2.12,8,0.0
72000,-1.0,2.0,8,0.0
72500,-1.0,2.0,9,0.0
73000,-1.0,2.0,9,0.0
73500,-1.0,2.0,10,0.0
74000,-1.0,2.0,9,0.0
74500,-1.0,2.0,10,0.0
75000,-1.0,2.0,8,0.0
75500,-0.88,2.12,8,0.0
76000,-1.0,2.0,8,0.0
76500,-1.0,2.0,10,0.0
77000,-1.0,2.0,9,0.0
77500,-1.0,2.0,9,0.0
78000,-1.0,2.0,8,0.0
78500,-1.0,2.0,9,0.0
79000,-1.0,2.0,8,0.0
79500,-1.0,2.0,8,0.0
80000,-1.0,2.0,8,0.0
80500,-1.0,2.0,10,0.0
81000,-1.0,2.0,8,0.0
81500,-1.0,2.0,8,0.0
82000,-1.0,2.0,9,0.0
82500,-1.0,2.0,8,0.0
83000,-1.0,2.0,8,0.0
83500,-1.0,2.0,9,0.0
84000,-1.0,2.0,9,0.0
84500,-0.91,2.09,11,0.0
85000,-1.0,2.0,9,0.0
85500,-1.0,2.0,8,0.0
86000,-1.0,2.0,8,0.0
86500,-1.0,2.0,8,0.0
87000,-1.0,2.0,8,0.0
87500,-1.0,2.0,8,0.0
88000,-1.0,2.0,9,0.0
88500,-1.0,2.0,9,0.0
89000,-1.0,2.0,8,0.0
89500,-1.0,2.0,8,0.0
90000,-1.0,2.0,9,0.0
90500,-1.0,2.0,8,0.0
91000,-0.88,2.12,8,0.0
91500,-1.0,2.0,9,0.0
92000,-1.0,2.0,13,0.0
92500,-1.0,2.0,9,0.0
93000,-1.0,2.0,8,0.0
93500,-1.0,2.0,8,0.0
94000,-1.0,2.0,9,0.0
94500,-1.0,2.0,9,0.0
95000,-0.75,2.25,8,0.0
95500,-0.9,2.1,10,0.0
96000,-1.0,2.0,11,0.0
96500,-0.88,2.12,8,0.0
97000,-1.0,2.0,9,0.0
97500,-0.91,2.09,11,0.0
98000,-1.0,2.0,9,0.0
98500,-1.0,2.0,8,0.0
99000,-1.0,2.0,10,0.0
99500,-1.0,2.0,12,0.0
100000,-1.0,2.0,8,0.0
100500,-0.88,2.12,8,0.0
101000,-1.0,2.0,8,0.0
101500,-0.9,2.1,10,0.0
102000,-1.0,2.0,10,0.0
102500,-1.0,2.0,9,0.0
103000,-1.0,2.0,10,0.0
103500,-0.89,2.11,9,0.0
104000,-1.0,2.0,8,0.0
104500,-1.0,2.0,8,0.0
105000,-1.0,2.0,11,0.0
105500,-1.0,2.0,9,0.0
106000,-1.0,2.0,8,0.0
106500,-1.0,2.0,8,0.0
107000,-1.0,2.0,9,0.0
107500,-1.0,2.0,9,0.0
108000,-0.89,2.11,9,0.0
108500,-1.0,2.0,8,0.0
109000,-1.0,2.0,8,0.0
109500,-1.0,2.0,8,0.0
110000,-1.0,2.0,9,0.0
110500,-1.0,2.0,9,0.0
111000,-1.0,2.0,9,0.0
111500,-1.0,2.0,8,0.0
112000,-1.0,2.0,9,0.0
112500,-0.88,2.12,8,0.0
113000,-1.0,2.0,8,0.0
113500,-1.0,2.0,10,0.0
114000,-1.0,2.0,8,0.0
114500,-1.0,2.0,8,0.0
115000,-1.0,2.0,9,0.0
115500,-1.0,2.0,10,0.0
116000,-1.0,2.0,9,0.0
116500,-1.0,2.0,8,0.0
117000,-0.91,2.09,11,0.0
117500,-0.88,2.12,8,0.0
118000,-1.0,2.0,8,0.0
118500,-1.0,2.0,8,0.0
119000,-1.0,2.0,8,0.0
119500,-1.0,2.0,10,0.0
120000,-1.0,2.0,10,0.0
120500,-0.8,2.2,10,0.0
121000,-1.0,2.0,8,0.0
121500,-1.0,2.0,9,0.0
122000,-1.0,2.0,9,0.0
122500,-1.0,2.0,10,0.0
123000,-1.0,2.0,8,0.0
123500,-0.89,2.11,9,0.0
124000,-1.0,2.0,8,0.0
124500,-0.89,2.11,9,0.0
125000,-1.0,2.0,9,0.0
125500,-0.88,2.12,8,0.0
126000,-1.0,2.0,8,0.0
126500,-1.0,2.0,11,0.0
127000,-1.0,2.0,8,0.0
127500,-1.0,2.0,10,0.0
128000,-1.0,2.0,10,0.0
128500,-1.0,2.0,11,0.0
129000,-1.0,2.0,8,0.0
129500,-1.0,2.0,10,0.0
130000,-1.0,2.0,9,0.0
130500,-1.0,2.0,11,0.0
131000,-1.0,2.0,10,0.0
131500,-1.0,2.0,8,0.0
132000,-1.0,2.0,8,0.0
132500,-0.88,2.12,8,0.0
133000,-0.88,2.12,8,0.0
133500,-1.0,2.0,9,0.0
134000,-0.88,2.12,8,0.0
134500,-1.0,2.0,10,0.0
135000,-1.0,2.0,10,0.0
135500,-1.0,2.0,11,0.0
136000,-0.91,2.09,11,0.0
136500,-1.0,2.0,9,0.0
137000,-1.0,2.0,10,0.0
137500,-1.0,2.0,8,0.0
138000,-0.78,2.22,9,0.0
138500,-1.0,2.0,9,0.0
139000,-1.0,2.0,8,0.0
139500,-0.88,2.12,8,0.0
140000,-1.0,2.0,9,0.0
140500,-1.0,2.0,8,0.0
141000,-1.0,2.0,10,0.0
141500,-1.0,2.0,8,0.0
142000,-1.0,2.0,10,0.0
142500,-1.0,2.0,8,0.0
143000,-1.0,2.0,10,0.0
143500,-1.0,2.0,8,0.0
144000,-1.0,2.0,10,0.0
144500,-1.0,2.0,9,0.0
145000,-1.0,2.0,9,0.0
145500,-1.0,2.0,9,0.0
146000,-1.0,2.0,10,0.0
146500,-1.0,2.0,9,0.0
147000,-1.0,2.0,9,0.0
147500,-1.0,2.0,10,0.0
148000,-1.0,2.0,8,0.0
148500,-1.0,2.0,8,0.0
149000,-1.0,2.0,10,0.0
149500,-0.89,2.11,9,0.0
150000,-1.0,2.0,9,0.0
150500,-1.0,2.0,8,0.0
151000,-1.0,2.0,8,0.0
151500,-1.0,2.0,8,0.0
152000,-1.0,2.0,9,0.0
152500,-1.0,2.0,8,0.0
153000,-1.0,2.0,8,0.0
153500,-1.0,2.0,10,0.0
154000,-1.0,2.0,9,0.0
154500,-1.0,2.0,10,0.0
155000,-1.0,2.0,8,0.0
155500,-1.0,2.0,8,0.0
156000,-1.0,2.0,8,0.0
156500,-0.92,2.08,12,0.0
157000,-1.0,2.0,8,0.0
157500,-1.0,2.0,9,0.0
158000,-1.0,2.0,8,0.0
158500,-1.0,2.0,10,0.0
159000,-1.0,2.0,8,0.0
159500,-0.92,2.08,12,0.0
160000,-1.0,2.0,8,0.0
160500,-1.0,2.0,11,0.0
161000,-1.0,2.0,9,0.0
161500,-0.88,2.12,8,0.0
162000,-1.0,2.0,10,0.0
162500,-1.0,2.0,8,0.0
163000,-1.0,2.0,9,0.0
163500,-1.0,2.0,8,0.0
164000,-1.0,2.0,11,0.0
164500,-1.0,2.0,8,0.0
165000,-1.0,2.0,9,0.0
165500,-1.0,2.0,8,0.0
166000,-1.0,2.0,10,0.0
166500,-0.91,2.09,11,0.0
167000,-1.0,2.0,11,0.0
167500,-1.0,2.0,9,0.0
168000,-1.0,2.0,9,0.0
168500,-0.9,2.1,10,0.0
169000,-0.88,2.12,8,0.0
169500,-1.0,2.0,9,0.0
170000,-1.0,2.0,8,0.0
170500,-1.0,2.0,9,0.0
171000,-1.0,2.0,8,0.0
171500,-1.0,2.0,10,0.0
172000,-1.0,2.0,9,0.0
172500,-1.0,2.0,9,0.0
173000,-0.88,2.12,8,0.0
173500,-1.0,2.0,8,0.0
174000,-1.0,2.0,10,0.0
174500,-1.0,2.0,10,0.0
175000,-1.0,2.0,9,0.0
175500,-0.9,2.1,10,0.0
176000,-1.0,2.0,8,0.0
176500,-1.0,2.0,9,0.0
177000,-1.0,2.0,8,0.0
177500,-1.0,2.0,12,0.0
178000,-1.0,2.0,8,0.0
178500,-1.0,2.0,10,0.0
179000,-1.0,2.0,8,0.0
179500,-1.0,2.0,9,0.0
180000,-1.0,2.0,9,0.0
180500,-1.0,2.0,8,0.0
181000,-1.0,2.0,8,0.0
181500,-1.0,2.0,8,0.0
182000,-1.0,2.0,8,0.0
182500,-1.0,2.0,10,0.0
183000,-1.0,2.0,8,0.0
183500,-1.0,2.0,9,0.0
184000,-1.0,2.0,8,0.0
184500,-1.0,2.0,10,0.0
185000,-1.0,2.0,9,0.0
185500,-1.0,2.0,9,0.0
186000,-1.0,2.0,9,0.0
186500,-1.0,2.0,9,0.0
187000,-1.0,2.0,8,0.0
187500,-1.0,2.0,9,0.0
188000,-1.0,2.0,8,0.0
188500,-0.89,2.11,9,0.0
189000,-1.0,2.0,11,0.0
189500,-1.0,2.0,9,0.0
190000,-1.0,2.0,9,0.0
190500,-1.0,2.0,8,0.0
191000,-0.88,2.12,8,0.0
191500,-1.0,2.0,8,0.0
192000,-1.0,2.0,10,0.0
192500,-1.0,2.0,8,0.0
193000,-0.88,2.12,8,0.0
193500,-1.0,2.0,8,0.0
194000,-1.0,2.0,8,0.0
194500,-1.0,2.0,10,0.0
195000,-1.0,2.0,8,0.0
195500,-0.89,2.11,9,0.0
196000,-1.0,2.0,9,0.0
196500,-1.0,2.0,11,0.0
197000,-1.0,2.0,9,0.0
197500,-1.0,2.0,8,0.0
198000,-1.0,2.0,8,0.0
198500,-1.0,2.0,8,0.0
199000,-1.0,2.0,8,0.0
199500,-1.0,2.0,10,0.0
200000,-1.0,2.0,9,0.0
