iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,9,0.0
1000,-1.0,2.0,9,0.0
1500,-1.0,2.0,8,0.0
2000,-0.62,2.38,8,0.0
2500,-1.0,2.0,8,0.0
